iter	Logloss
0	0.659729174
1	0.6256248156
2	0.600891392
3	0.5767644692
4	0.5587618992
5	0.543255004
6	0.5309799197
7	0.5162681711
8	0.5061462859
9	0.4968946362
10	0.4870433715
11	0.4805354628
12	0.4738949172
13	0.4670345589
14	0.4623409965
15	0.4582327575
16	0.4513661287
17	0.4461230598
18	0.4420983125
19	0.4391855847
20	0.4361393301
21	0.433811435
22	0.4304990129
23	0.426262703
24	0.4227990915
25	0.4203123451
26	0.414658084
27	0.411865866
28	0.409027899
29	0.4060027978
30	0.4039065612
31	0.4020503121
32	0.4010134558
33	0.3958568871
34	0.3904704324
35	0.3888849864
36	0.3855034611
37	0.3811915784
38	0.3797068885
39	0.3778873936
40	0.3764962605
41	0.3744866417
42	0.3712689137
43	0.3689663605
44	0.3678528657
45	0.3663266959
46	0.3634866583
47	0.3607751559
48	0.3584022533
49	0.3573473971
50	0.3555386204
51	0.3535637066
52	0.3510117544
53	0.3489801869
54	0.3474175851
55	0.3451682229
56	0.3435508365
57	0.3413455249
58	0.339246493
59	0.3362767617
60	0.3337290699
61	0.3300106931
62	0.3274433202
63	0.3257734133
64	0.3232448159
65	0.3209756186
66	0.3192819458
67	0.3177541039
68	0.3164402977
69	0.3137203978
70	0.3123124093
71	0.3115176848
72	0.3107497336
73	0.3082333811
74	0.3064622282
75	0.3050091253
76	0.3031243182
77	0.2998458212
78	0.2984700442
79	0.2973433782
80	0.2954400741
81	0.2950394843
82	0.2930462834
83	0.2915381437
84	0.2879257249
85	0.2856912973
86	0.282902526
87	0.2787672322
88	0.275319691
89	0.2723831838
90	0.270420274
91	0.2675399387
92	0.2648890971
93	0.2647163742
94	0.2630209084
95	0.262879278
96	0.2621240641
97	0.2589317417
98	0.2557227566
99	0.2555717753
100	0.2536219344
101	0.2534305697
102	0.2509416506
103	0.2488399029
104	0.2477096864
105	0.2464646342
106	0.2441703354
107	0.2421363532
108	0.2392565865
109	0.2372211118
110	0.235478483
111	0.2320540525
112	0.2300157177
113	0.2278950094
114	0.226332626
115	0.2258489129
116	0.2257110162
117	0.2241304097
118	0.2239854403
119	0.221955064
120	0.2198633543
121	0.2185199803
122	0.216964066
123	0.2162999105
124	0.2144141979
125	0.212510223
126	0.2119337075
127	0.2111606723
128	0.2090512811
129	0.2071686895
130	0.20493527
131	0.2027870166
132	0.2015638095
133	0.2004681443
134	0.1982868313
135	0.1960844352
136	0.1949763901
137	0.1942202277
138	0.1929399014
139	0.1914234887
140	0.1913363085
141	0.1891263965
142	0.1890326742
143	0.1883891998
144	0.1883313535
145	0.1871605436
146	0.1856259805
147	0.1850755027
148	0.1837118535
149	0.1818012958
150	0.1800845672
151	0.1782711141
152	0.1776160687
153	0.1768196731
154	0.1767083398
155	0.1762282163
156	0.1752309448
157	0.1733519007
158	0.1731884613
159	0.1718098119
160	0.1703977511
161	0.1691774387
162	0.1677962044
163	0.1657217562
164	0.1646789968
165	0.1636490989
166	0.1619826953
167	0.1610662336
168	0.1602248434
169	0.1594211106
170	0.1577685461
171	0.1567477267
172	0.1559517465
173	0.1549019315
174	0.1535979791
175	0.1529612128
176	0.1520820184
177	0.1504754258
178	0.1496392386
179	0.1487048564
180	0.1473366915
181	0.1468742467
182	0.1460963931
183	0.1454169447
184	0.1439284172
185	0.1427173933
186	0.141915239
187	0.1414590174
188	0.1402358179
189	0.1393763992
190	0.1389157178
191	0.1378068386
192	0.1374675861
193	0.1366533958
194	0.1355171133
195	0.1343888294
196	0.1336847187
197	0.1330005518
198	0.1325310039
199	0.1313647195
